Monosiga brevicollis	"taxid:81824"
Dictyostelium discoideum	"taxid:44689"
Salpingoeca rosetta	"taxid:946362"
Thecamonas trahens	"taxid:529818"
Capsaspora owczarzaki	"taxid:192875"
Trichoplax adhaerens	"taxid:10228"
Amphimedon queenslandica	"taxid:400682"
Homo sapiens	"taxid:9606"
Nematostella vectensis	"taxid:45351"
Hydra vulgaris	"taxid:6087"
Strongylocentrotus purpuratus	"taxid:7668"
Caenorhabditis elegans	"taxid:6239"
Drosophila melanogaster	"taxid:7227"
Octopus bimaculoides	"taxid:37653"
Trichoplax adhaerens	"taxid:10228"
Amphimedon queenslandica	"taxid:400682"
Lingula anatina	"taxid:7574"




