Phaeodactylum tricornutum	(taxid:2850)
Guillardia theta	(taxid:55529)
Phytophthora ramorum	(taxid:164328)
Paramecium tetraurelia	(taxid:5888)
Plasmodium falciparum	(taxid:5833)
Symbiodinium minutum	(taxid:1202447)
Chromera velia	(taxid:505693)
Bigelowiella natans	(taxid:227086)
Reticulomyxa filosa	(taxid:46433)
Trypanosoma brucei	(taxid:5691)
Guillardia theta	(taxid:55529)
Naegleria gruberi	(taxid:5762)
Chondrus crispus	(taxid:2769)
Arabidopsis thaliana	(taxid:3702)
Volvox carteri	(taxid:3067)
Acytostelium subglobosum	(taxid:361139)
Dictyostelium discoideum	(taxid:44689)
Entamoeba histolytica	(taxid:5759)
Rozella allomycis	(taxid:281847)
Fonticula alba	(taxid:691883)
Batrachochytrium dendrobatidis	(taxid:109871)
Encephalitozoon cuniculi	(taxid:6035)
Phycomyces blakesleeanus	(taxid:4837)
Saccharomyces cerevisiae	(taxid:4932)
Taphrina deformans	(taxid:5011)
Melampsora larici-populina	(taxid:203908)
Rhizophagus irregularis	(taxid:588596)
Allomyces macrogynus	(taxid:28583)
Piromyces sp. E2	(taxid:73868)
Conidiobolus coronatus	(taxid:34488)
Coemansia reversa	(taxid:61392)
Capsaspora owczarzaki	(taxid:192875)
Ministeria vibrans	(taxid:134558)
Sphaeroforma arctica	(taxid:72019)
Monosiga brevicollis	(taxid:81824)
Salpingoeca rosetta	(taxid:946362)
Homo sapiens	(taxid:9606)
Amphimedon queenslandica	(taxid:400682)
Drosophila melanogaster	(taxid:7227)
Thecamonas trahens	(taxid:529818)
Trichoplax adhaerens	(taxid:10228)
Nematostella vectensis	(taxid:45351)
Hydra vulgaris	(taxid:6087)
Thelohanellus kitauei	(taxid:669202)
Ciona intestinalis	(taxid:7719)
Danio rerio	(taxid:7955)
Mus musculus	(taxid:10090)
Saccoglossus kowalevskii	(taxid:10224)
Strongylocentrotus purpuratus	(taxid:7668)
Priapulus caudata	(taxid:37621)
Caenorhabditis elegans	(taxid:6239)
Trichinella spiralis	(taxid:6334)
Ixodes scapularis	(taxid:6945)
Diphyllobothrium latum	(taxid:60516)
Schistosoma haematobium	(taxid:6185)
Schmidtea mediterranea	(taxid:79327)
Lingula anatina	(taxid:7574)
Lottia gigantea	(taxid:225164)
Octopus bimaculoides	(taxid:37653)
Helobdella robusta	(taxid:6412)
