XP_004990690.1,Sal_ros, PRCDH1 protein ,Choanoflagellate,"Sal_ros  PRCDH1 protein ","Salpingoeca  PRCDH1 protein "
XP_011270174.1,Cap_owc, hypothetical protein CAOG_08574 ,Holozoa,"Cap_owc  hypothetical protein CAOG_08574 ","Capsaspora  hypothetical protein CAOG_08574 "
XP_002112951.1,Tri_adh, hypothetical protein TRIADDRAFT_25152 ,Placozoa,"Tri_adh  hypothetical protein TRIADDRAFT_25152 ","Trichoplax  hypothetical protein TRIADDRAFT_25152 "
XP_011407489.2,Amp_que, PREDICTED: protocadherin Fat 4-like ,Porifera,"Amp_que  PREDICTED: protocadherin Fat 4-like ","Amphimedon  PREDICTED: protocadherin Fat 4-like "
NP_149045.3,Hom_sap, protocadherin-15 isoform CD1-4 precursor ,Deuterostome,"Hom_sap  protocadherin-15 isoform CD1-4 precursor ","Homo  protocadherin-15 isoform CD1-4 precursor "
XP_001638252.1,Nem_vec, predicted protein ,Cnidaria,"Nem_vec  predicted protein ","Nematostella  predicted protein "
XP_012559514.1,Hyd_vul, PREDICTED: protocadherin Fat 4-like ,Cnidaria,"Hyd_vul  PREDICTED: protocadherin Fat 4-like ","Hydra  PREDICTED: protocadherin Fat 4-like "
XP_785445.2,Str_pur, PREDICTED: protein dachsous ,Deuterostome,"Str_pur  PREDICTED: protein dachsous ","Strongylocentrotus  PREDICTED: protein dachsous "
NP_506256.3,Cae_ele, FlaMIngo (cadherin plus 7TM domain) homolog ,Protostome,"Cae_ele  FlaMIngo (cadherin plus 7TM domain) homolog ","Caenorhabditis  FlaMIngo (cadherin plus 7TM domain) homolog "
NP_733314.1,Dro_mel, cadherin 99C,Protostome,"Dro_mel  cadherin 99C","Drosophila  cadherin 99C"
XP_014775136.1,Oct_bim, PREDICTED: protein dachsous-like ,Protostome,"Oct_bim  PREDICTED: protein dachsous-like ","Octopus  PREDICTED: protein dachsous-like "
XP_013388719.1,Lin_ana, PREDICTED: uncharacterized protein LOC106157571 ,Protostome,"Lin_ana  PREDICTED: uncharacterized protein LOC106157571 ","Lingula  PREDICTED: uncharacterized protein LOC106157571 "
