XP_004987734.1,Sal_ros, tyrosine phosphatase ,Choanoflagellate,"Sal_ros  tyrosine phosphatase ","Salpingoeca  tyrosine phosphatase "
XP_011270174.1,Cap_owc, hypothetical protein CAOG_08574 ,Holozoa,"Cap_owc  hypothetical protein CAOG_08574 ","Capsaspora  hypothetical protein CAOG_08574 "
XP_002112951.1,Tri_adh, hypothetical protein TRIADDRAFT_25152 ,Placozoa,"Tri_adh  hypothetical protein TRIADDRAFT_25152 ","Trichoplax  hypothetical protein TRIADDRAFT_25152 "
XP_011407489.2,Amp_que, PREDICTED: protocadherin Fat 4-like ,Porifera,"Amp_que  PREDICTED: protocadherin Fat 4-like ","Amphimedon  PREDICTED: protocadherin Fat 4-like "
XP_016871988.1,Hom_sap, PREDICTED: cadherin-23 isoform X3 ,Deuterostome,"Hom_sap  PREDICTED: cadherin-23 isoform X3 ","Homo  PREDICTED: cadherin-23 isoform X3 "
XP_001632533.1,Nem_vec, predicted protein ,Cnidaria,"Nem_vec  predicted protein ","Nematostella  predicted protein "
XP_012559514.1,Hyd_vul, PREDICTED: protocadherin Fat 4-like ,Cnidaria,"Hyd_vul  PREDICTED: protocadherin Fat 4-like ","Hydra  PREDICTED: protocadherin Fat 4-like "
XP_785445.2,Str_pur, PREDICTED: protein dachsous ,Deuterostome,"Str_pur  PREDICTED: protein dachsous ","Strongylocentrotus  PREDICTED: protein dachsous "
NP_001317871.1,Cae_ele, LOW QUALITY PROTEIN: Cadherin-4 ,Protostome,"Cae_ele  LOW QUALITY PROTEIN: Cadherin-4 ","Caenorhabditis  LOW QUALITY PROTEIN: Cadherin-4 "
NP_477497.1,Dro_mel, fat ,Protostome,"Dro_mel  fat ","Drosophila  fat "
XP_014780822.1,Oct_bim, PREDICTED: protocadherin Fat 1-like,Protostome,"Oct_bim  PREDICTED: protocadherin Fat 1-like","Octopus  PREDICTED: protocadherin Fat 1-like"
XP_013393116.1,Lin_ana, PREDICTED: protein dachsous-like ,Protostome,"Lin_ana  PREDICTED: protein dachsous-like ","Lingula  PREDICTED: protein dachsous-like "
