XP_004997088.1,Sal_ros, myosin-VIIa ,Choanoflagellate,"Sal_ros  myosin-VIIa ","Salpingoeca  myosin-VIIa "
XP_011270021.1,Cap_owc, hypothetical protein CAOG_08449,Holozoa,"Cap_owc  hypothetical protein CAOG_08449","Capsaspora  hypothetical protein CAOG_08449"
XP_002117926.1,Tri_adh, hypothetical protein TRIADDRAFT_61967 ,Placozoa,"Tri_adh  hypothetical protein TRIADDRAFT_61967 ","Trichoplax  hypothetical protein TRIADDRAFT_61967 "
XP_019863708.1,Amp_que, PREDICTED: unconventional myosin-VIIa-like ,Porifera,"Amp_que  PREDICTED: unconventional myosin-VIIa-like ","Amphimedon  PREDICTED: unconventional myosin-VIIa-like "
NP_000251.3,Hom_sap, unconventional myosin-VIIa isoform 1 ,Deuterostome,"Hom_sap  unconventional myosin-VIIa isoform 1 ","Homo  unconventional myosin-VIIa isoform 1 "
XP_001627758.1,Nem_vec, predicted protein ,Cnidaria,"Nem_vec  predicted protein ","Nematostella  predicted protein "
XP_012559202.1,Hyd_vul, PREDICTED: myosin-VIIa-like ,Cnidaria,"Hyd_vul  PREDICTED: myosin-VIIa-like ","Hydra  PREDICTED: myosin-VIIa-like "
XP_011679927.1,Str_pur, PREDICTED: myosin-VIIa ,Deuterostome,"Str_pur  PREDICTED: myosin-VIIa ","Strongylocentrotus  PREDICTED: myosin-VIIa "
NP_508420.1,Cae_ele, Unconventional myosin heavy chain 6 ,Protostome,"Cae_ele  Unconventional myosin heavy chain 6 ","Caenorhabditis  Unconventional myosin heavy chain 6 "
NP_523571.1,Dro_mel, crinkled,Protostome,"Dro_mel  crinkled","Drosophila  crinkled"
XP_014786283.1,Oct_bim, PREDICTED: myosin-VIIa-like ,Protostome,"Oct_bim  PREDICTED: myosin-VIIa-like ","Octopus  PREDICTED: myosin-VIIa-like "
XP_013411852.1,Lin_ana, PREDICTED: myosin-VIIa-like ,Protostome,"Lin_ana  PREDICTED: myosin-VIIa-like ","Lingula  PREDICTED: myosin-VIIa-like "
